script_name,purpose,principal_input,principal_output,main_parameters,reproducibility_notes
src/utils.py,Shared helpers: config load, schema validation, projection, gridding, periods, seeding, logging,config YAML,(none; imported by all stages),"crs.geographic, crs.projected, columns, spatial.grid_size_m","Single source of parameters/paths; imported by every stage and by tests"
src/01_inventory.py,Merge + quality control + trajectory speed flags,"input.points_path (pointId, recordDate, lat, lon, device_name, totalTrashCount)",outputs/processed/all_points_cleaned.csv,"quality_control.speed_abnormal_kmh=120, gps_jump_dist_m=1000, gps_jump_dt_sec=60","No row deleted; only sensitive extra columns (e.g. image URL) dropped; deterministic"
src/02_validation.py,Manual-validation precision summary (row/object FP rates),"input.validation_path (pointId, recordDate, device_name, manual_label[, false_positive_type, totalTrashCount])",tables/validation_summary.csv,(none; pure tabulation),"Optional stage; skipped if validation_path empty; precision only, not recall"
src/03_exposure.py,Observation exposure on a 100 m grid + effective coverage,outputs/processed/all_points_cleaned.csv,"outputs/grid_analysis/grid_exposure_{full,period1,period2}.csv","spatial.grid_size_m=100, effective_observation_days_min=5","Grid anchored at projected origin (0,0); valid distance over 'ok' segments only"
src/04_deduplication.py,3 m seed-radius spatial deduplication into unique litter events,outputs/processed/all_points_cleaned.csv (detection rows),"outputs/litter_analysis/unique_litter_events_{full,period1,period2}.csv","spatial.dedup_radius_m=3.0, grid_size_m=100","Seed-radius via scipy cKDTree (numpy fallback); prevents single-link chaining; per-period independent"
src/05_indicators.py,Normalized intensity and recurrence ratio per cell,"grid_exposure_{...}.csv, unique_litter_events_{...}.csv, all_points_cleaned.csv","outputs/litter_analysis/grid_litter_metrics_{full,period1,period2}.csv","spatial.grid_size_m=100, effective_observation_days_min=5","intensity=events/valid_km; recurrence=detection_days/obs_days; non-effective/div_zero flagged"
src/06_stability_priority.py,Period stability + HH/HL/LH/LL priority classification,"grid_litter_metrics_{full,period1,period2}.csv","outputs/stability_priority/{priority_classification_full_period,period_hotspot_overlap,persistent_emerging_declining_hotspots}.csv, stability_summary.txt","priority.main_percentile=80, sensitivity_percentiles, hotspot.top_x_percent=[5,10,20]","Spearman + Fisher-z CI; thresholds derived from data (80th pct of detected effective cells)"
scripts/run_pipeline.py,Orchestrate stages 01-06 with --config and --dry-run,config YAML,(invokes all stage outputs),"--config, --dry-run, --stages","--dry-run validates config/inputs/columns/outputs without processing data"
scripts/make_main_tables.py,Build manuscript main tables from outputs,"grid_exposure_*, grid_litter_metrics_*, priority_*, validation_summary.csv","tables/table1_study_data_exposure.csv, table2_validation.csv, table3_stability_priority.csv",(reads config paths),"Derived purely from analytical outputs; reproduces synthetic or real tables"
scripts/make_main_figures.py,Reproduce main figures from outputs,"grid_exposure_full, grid_litter_metrics_*, priority_classification_full_period","figures/fig_observation_coverage.png, fig_normalized_intensity.png, fig_recurrence_ratio.png, fig_period_stability.png, fig_priority_classification.png",(reads config paths),"Clean reproducible renderings (Times New Roman where available); 300 DPI"
examples/generate_synthetic_input.py,Generate the fully synthetic example input,(none; fixed seed),"examples/synthetic_input/synthetic_points.csv, synthetic_validation.csv","SEED=12345, DEV_A/B/C, fictional coords lat~40/lon~140, year 2001","No real data read/perturbed; designed to yield all four priority classes"
